Date,Product_ID,Product_Category,Brand,Average_Damage_Rate,Refund_Rate,Avg_Time_Between_Stockouts,Avg_Quantity_Per_Order,Current_Inventory_Quantity,Maximum_Quantity_in_Stock,Current_Inventory_Levels,Storage_Time,Quantity_Released
1/1/2022,101,Electronics,BrandC,0.016,0.05,35,12,845,1200,High,32,11
1/2/2022,101,Electronics,BrandC,0.016,0.05,35,12,834,1200,Medium,33,28
1/3/2022,101,Electronics,BrandC,0.016,0.05,35,12,806,1200,Medium,34,18
1/4/2022,101,Electronics,BrandC,0.016,0.05,35,12,788,1200,Medium,35,15
1/5/2022,101,Electronics,BrandC,0.016,0.05,35,12,773,1200,Medium,36,17
1/6/2022,101,Electronics,BrandC,0.016,0.05,35,12,756,1200,Medium,37,22
1/7/2022,101,Electronics,BrandC,0.016,0.05,35,12,734,1200,Medium,38,25
1/8/2022,101,Electronics,BrandC,0.016,0.05,35,12,709,1200,Medium,39,24
1/9/2022,101,Electronics,BrandC,0.016,0.05,35,12,685,1200,Medium,40,29
1/10/2022,101,Electronics,BrandC,0.016,0.05,35,12,656,1200,Medium,41,22
1/11/2022,101,Electronics,BrandC,0.016,0.05,35,12,634,1200,Medium,42,25
1/12/2022,101,Electronics,BrandC,0.016,0.05,35,12,609,1200,Medium,43,25
1/13/2022,101,Electronics,BrandC,0.016,0.05,35,12,584,1200,Medium,44,27
1/14/2022,101,Electronics,BrandC,0.016,0.05,35,12,557,1200,Medium,45,16
1/15/2022,101,Electronics,BrandC,0.016,0.05,35,12,541,1200,Medium,46,11
1/16/2022,101,Electronics,BrandC,0.016,0.05,35,12,530,1200,Medium,47,10
1/17/2022,101,Electronics,BrandC,0.016,0.05,35,12,520,1200,Medium,48,30
1/18/2022,101,Electronics,BrandC,0.016,0.05,35,12,490,1200,Medium,49,26
1/19/2022,101,Electronics,BrandC,0.016,0.05,35,12,464,1200,Medium,50,27
1/20/2022,101,Electronics,BrandC,0.016,0.05,35,12,437,1200,Medium,51,17
1/21/2022,101,Electronics,BrandC,0.016,0.05,35,12,420,1200,Medium,52,29
1/22/2022,101,Electronics,BrandC,0.016,0.05,35,12,391,1200,Medium,53,21
1/23/2022,101,Electronics,BrandC,0.016,0.05,35,12,370,1200,Medium,54,21
1/24/2022,101,Electronics,BrandC,0.016,0.05,35,12,349,1200,Low,55,29
1/25/2022,101,Electronics,BrandC,0.016,0.05,35,12,320,1200,Low,56,10
1/26/2022,101,Electronics,BrandC,0.016,0.05,35,12,310,1200,Low,57,21
1/27/2022,101,Electronics,BrandC,0.016,0.05,35,12,289,1200,Low,58,18
1/28/2022,101,Electronics,BrandC,0.016,0.05,35,12,271,1200,Low,59,24
1/29/2022,101,Electronics,BrandC,0.016,0.05,35,12,247,1200,Low,60,22
1/30/2022,101,Electronics,BrandC,0.016,0.05,35,12,225,1200,Low,61,29
1/31/2022,101,Electronics,BrandC,0.016,0.05,35,12,196,1200,Low,62,16
2/1/2022,101,Electronics,BrandC,0.016,0.05,35,12,180,1200,Low,63,13
2/2/2022,101,Electronics,BrandC,0.016,0.05,35,12,980,1200,High,1,24
2/3/2022,101,Electronics,BrandC,0.016,0.05,35,12,956,1200,High,2,24
2/4/2022,101,Electronics,BrandC,0.016,0.05,35,12,932,1200,High,3,10
2/5/2022,101,Electronics,BrandC,0.016,0.05,35,12,922,1200,High,4,29
2/6/2022,101,Electronics,BrandC,0.016,0.05,35,12,893,1200,High,5,28
2/7/2022,101,Electronics,BrandC,0.016,0.05,35,12,865,1200,High,6,18
2/8/2022,101,Electronics,BrandC,0.016,0.05,35,12,847,1200,High,7,20
2/9/2022,101,Electronics,BrandC,0.016,0.05,35,12,827,1200,Medium,8,21
2/10/2022,101,Electronics,BrandC,0.016,0.05,35,12,806,1200,Medium,9,16
2/11/2022,101,Electronics,BrandC,0.016,0.05,35,12,790,1200,Medium,10,30
2/12/2022,101,Electronics,BrandC,0.016,0.05,35,12,760,1200,Medium,11,29
2/13/2022,101,Electronics,BrandC,0.016,0.05,35,12,731,1200,Medium,12,20
2/14/2022,101,Electronics,BrandC,0.016,0.05,35,12,711,1200,Medium,13,15
2/15/2022,101,Electronics,BrandC,0.016,0.05,35,12,696,1200,Medium,14,27
2/16/2022,101,Electronics,BrandC,0.016,0.05,35,12,669,1200,Medium,15,25
2/17/2022,101,Electronics,BrandC,0.016,0.05,35,12,644,1200,Medium,16,24
2/18/2022,101,Electronics,BrandC,0.016,0.05,35,12,620,1200,Medium,17,21
2/19/2022,101,Electronics,BrandC,0.016,0.05,35,12,599,1200,Medium,18,15
2/20/2022,101,Electronics,BrandC,0.016,0.05,35,12,584,1200,Medium,19,14
2/21/2022,101,Electronics,BrandC,0.016,0.05,35,12,570,1200,Medium,20,21
2/22/2022,101,Electronics,BrandC,0.016,0.05,35,12,549,1200,Medium,21,10
2/23/2022,101,Electronics,BrandC,0.016,0.05,35,12,539,1200,Medium,22,19
2/24/2022,101,Electronics,BrandC,0.016,0.05,35,12,520,1200,Medium,23,15
2/25/2022,101,Electronics,BrandC,0.016,0.05,35,12,505,1200,Medium,24,21
2/26/2022,101,Electronics,BrandC,0.016,0.05,35,12,484,1200,Medium,25,30
2/27/2022,101,Electronics,BrandC,0.016,0.05,35,12,454,1200,Medium,26,20
2/28/2022,101,Electronics,BrandC,0.016,0.05,35,12,434,1200,Medium,27,21
3/1/2022,101,Electronics,BrandC,0.014,0.04,35,12,934,1200,High,1,17
3/2/2022,101,Electronics,BrandC,0.014,0.04,35,12,917,1200,High,2,14
3/3/2022,101,Electronics,BrandC,0.014,0.04,35,12,903,1200,High,3,13
3/4/2022,101,Electronics,BrandC,0.014,0.04,35,12,890,1200,High,4,10
3/5/2022,101,Electronics,BrandC,0.014,0.04,35,12,880,1200,High,5,25
3/6/2022,101,Electronics,BrandC,0.014,0.04,35,12,855,1200,High,6,17
3/7/2022,101,Electronics,BrandC,0.014,0.04,35,12,838,1200,Medium,7,10
3/8/2022,101,Electronics,BrandC,0.014,0.04,35,12,828,1200,Medium,8,14
3/9/2022,101,Electronics,BrandC,0.014,0.04,35,12,814,1200,Medium,9,30
3/10/2022,101,Electronics,BrandC,0.014,0.04,35,12,784,1200,Medium,10,30
3/11/2022,101,Electronics,BrandC,0.014,0.04,35,12,754,1200,Medium,11,23
3/12/2022,101,Electronics,BrandC,0.014,0.04,35,12,731,1200,Medium,12,10
3/13/2022,101,Electronics,BrandC,0.014,0.04,35,12,721,1200,Medium,13,24
3/14/2022,101,Electronics,BrandC,0.014,0.04,35,12,697,1200,Medium,14,14
3/15/2022,101,Electronics,BrandC,0.014,0.04,35,12,683,1200,Medium,15,11
3/16/2022,101,Electronics,BrandC,0.014,0.04,35,12,672,1200,Medium,16,11
3/17/2022,101,Electronics,BrandC,0.014,0.04,35,12,661,1200,Medium,17,11
3/18/2022,101,Electronics,BrandC,0.014,0.04,35,12,650,1200,Medium,18,17
3/19/2022,101,Electronics,BrandC,0.014,0.04,35,12,633,1200,Medium,19,21
3/20/2022,101,Electronics,BrandC,0.014,0.04,35,12,612,1200,Medium,20,25
3/21/2022,101,Electronics,BrandC,0.014,0.04,35,12,587,1200,Medium,21,23
3/22/2022,101,Electronics,BrandC,0.014,0.04,35,12,564,1200,Medium,22,11
3/23/2022,101,Electronics,BrandC,0.014,0.04,35,12,553,1200,Medium,23,29
3/24/2022,101,Electronics,BrandC,0.014,0.04,35,12,524,1200,Medium,24,13
3/25/2022,101,Electronics,BrandC,0.014,0.04,35,12,511,1200,Medium,25,19
3/26/2022,101,Electronics,BrandC,0.014,0.04,35,12,492,1200,Medium,26,26
3/27/2022,101,Electronics,BrandC,0.014,0.04,35,12,466,1200,Medium,27,10
3/28/2022,101,Electronics,BrandC,0.014,0.04,35,12,456,1200,Medium,28,15
3/29/2022,101,Electronics,BrandC,0.014,0.04,35,12,441,1200,Medium,29,29
3/30/2022,101,Electronics,BrandC,0.014,0.04,35,12,412,1200,Medium,30,27
3/31/2022,101,Electronics,BrandC,0.014,0.04,35,12,385,1200,Medium,31,16
4/1/2022,101,Electronics,BrandC,0.014,0.04,35,12,885,1200,High,1,22
4/2/2022,101,Electronics,BrandC,0.014,0.04,35,12,863,1200,High,2,16
4/3/2022,101,Electronics,BrandC,0.014,0.04,35,12,847,1200,High,3,21
